CAMIS,DBA,ZIPCODE,CUISINE_DESCRIPTION,INSPECTION_DATE,SCORE,Latitude,Longitude,GRADE
41456436,MARINA BIZCOCHOS,11373,Bakery Products/Desserts,9/19/2022,32,40.74238131,-73.87105167,C
41456477,1001 NIGHTS CAFE,10314,American,8/3/2022,12,40.59828157,-74.16252148,A
41456522,MAGNOLIA BAKERY,10017,Bakery Products/Desserts,8/26/2021,12,40.75186876,-73.97706304,A
41456522,MAGNOLIA BAKERY,10017,Bakery Products/Desserts,1/26/2022,8,40.75186876,-73.97706304,A
41456522,MAGNOLIA BAKERY,10017,Bakery Products/Desserts,7/13/2022,12,40.75186876,-73.97706304,A
41456522,MAGNOLIA BAKERY,10017,Bakery Products/Desserts,9/20/2022,13,40.75186876,-73.97706304,A
41456579,SUBWAY,11226,Sandwiches,8/20/2021,7,40.65011018,-73.96078037,A
41456579,SUBWAY,11226,Sandwiches,8/9/2022,2,40.65011018,-73.96078037,A
41456654,CAFE ARGENTINO,11211,Latin American,7/29/2022,17,40.71094994,-73.95119656,B
41456771,TAQUERIA COATZINGO,11372,Mexican,9/26/2022,93,40.74705559,-73.8894125,C
41456863,THE MAD DONKEY,11106,American,4/27/2022,29,40.75613902,-73.92879518,C
41457400,GRAN VIA,10004,American,10/5/2022,25,40.70443555,-74.01019975,B
41457424,JIMBO'S HAMBURGER PALACE,10466,Hamburgers,5/20/2022,44,40.89168873,-73.85832963,C
41457424,JIMBO'S HAMBURGER PALACE,10466,Hamburgers,6/16/2022,26,40.89168873,-73.85832963,B
41457451,COPPOLA'S,10024,Italian,5/17/2022,21,40.78330203,-73.9787385,B
41457495,HALE & HEARTY SOUP,10017,Soups/Salads/Sandwiches,8/26/2021,2,40.7517211,-73.98008405,A
41457591,ROSSY'S BAKERY & COFFEE SHOP,10009,Spanish,8/20/2021,18,40.72221245,-73.98191477,B
41457591,ROSSY'S BAKERY & COFFEE SHOP,10009,Spanish,12/23/2021,10,40.72221245,-73.98191477,A
41457591,ROSSY'S BAKERY & COFFEE SHOP,10009,Spanish,10/18/2022,11,40.72221245,-73.98191477,A
41457674,FIVE GUYS FAMOUS BURGERS AND FRIES,10017,Hamburgers,4/20/2022,12,40.75176923,-73.97372811,A
41458168,SON DE CALI BAKERY,11385,Bakery Products/Desserts,9/1/2021,12,40.6973636,-73.90720226,A
41458323,FREUNDS KITCHEN,11219,Jewish/Kosher,4/7/2022,13,40.63561514,-73.98431269,A
41458340,MR TONG,11218,Chinese,4/26/2022,11,40.64868197,-73.97777974,A
41458571,WESTVILLE,10011,American,4/21/2022,13,40.74161387,-73.99922413,A
41458613,NIGHT OF JOY,11211,American,5/20/2022,9,40.71692198,-73.94984662,A
41458617,RED RIBBON BAKESHOP,11377,Filipino,8/26/2021,12,40.74604877,-73.8988841,A
41458716,101 CAFE,11416,American,7/29/2021,8,40.68506321,-73.8432011,A
41458716,101 CAFE,11416,American,6/24/2022,11,40.68506321,-73.8432011,A
41459139,KNITTING FACTORY,11211,American,9/9/2021,3,40.71409186,-73.95589447,A
41459414,NEW YUNG HONG,10463,Chinese,1/12/2022,13,40.87285041,-73.90512678,A
41459743,EVERYDAY GOURMET DELI,10017,American,4/27/2022,31,40.75057589,-73.97666286,C
41459921,Dunkin Donuts,10469,Donuts,12/9/2021,10,40.86183681,-73.84332862,A
41459923,DUNKIN,10035,Donuts,2/28/2022,12,40.80484127,-73.93706169,A
41459932,FARMERS PIZZA & GRILL,11412,American,5/3/2022,31,40.69080874,-73.76226598,C
41459932,FARMERS PIZZA & GRILL,11412,American,8/17/2022,10,40.69080874,-73.76226598,A
41459942,DUNKIN,10451,Donuts,4/4/2022,10,40.82430225,-73.90941651,A
41459947,DUNKIN,10454,Donuts,4/25/2022,3,40.8046291,-73.92227014,A
41459972,VERANDA RESTAURANT-CAFE,11361,American,9/9/2021,17,40.75871635,-73.77543979,B
41459972,VERANDA RESTAURANT-CAFE,11361,American,3/3/2022,12,40.75871635,-73.77543979,A
41460077,5 NAPKIN BURGER,10024,Hamburgers,4/19/2022,12,40.78689472,-73.97770816,A
41460224,DUNKIN,11203,Donuts,4/20/2022,13,40.65884382,-73.93115208,A
41460683,BASIL,11213,Jewish/Kosher,8/15/2022,31,40.67022426,-73.94212785,C
41460700,PIG 'N' WHISTLE,10018,American,4/27/2022,13,40.7524635,-73.99016463,A
41460794,KARAOKE SHOUT,11103,American,4/14/2022,14,40.75770599,-73.92003301,B
41460812,FORBELL CAFE (U.S. POST OFFICE CAFETERIA),11208,American,4/18/2022,2,40.66398368,-73.86048761,A
41461099,SRIPRAPHAI THAI RESTAURANT,11377,Thai,7/28/2022,10,40.74639798,-73.89960175,A
41461165,NEW BRISAS LATINAS BAKERY RESTAURANT,11420,Spanish,8/17/2022,20,40.67026094,-73.82095084,B
41461600,FIVE GUYS FAMOUS BURGERS AND FRIES,11360,Hamburgers,3/9/2022,9,40.77760032,-73.77967981,A
41461802,DIG INN SEASONAL MARKET,10022,American,4/4/2022,10,40.75752707,-73.97096449,A
41461860,LEX RESTAURANT,10128,Italian,8/3/2021,12,40.78236686,-73.95349835,A
