CAMIS,ZIPCODE,INSPECTION_DATE,SCORE,GRADE
50016098,11361,4/26/2022,36,C
50052660,10001,9/11/2019,17,B
50109154,10038,11/17/2021,13,A
41631487,10016,5/23/2018,29,C
41507070,11375,2/27/2018,49,C
40389455,10022,8/22/2019,23,B
40402465,10016,6/26/2019,67,C
41694378,11236,2/26/2020,5,A
41435782,10466,12/11/2019,6,A
40993101,10014,2/8/2022,17,B
50083109,10002,2/9/2019,19,B
41706329,10007,6/4/2019,7,A
41546717,10019,11/8/2019,12,A
40402369,10065,11/6/2019,27,B
50018654,11230,7/14/2022,0,A
50044041,11417,10/23/2019,12,A
41382108,10038,3/14/2022,12,A
41241802,11234,2/17/2022,9,A
50109756,11355,3/10/2022,11,A
41664787,11237,1/14/2019,11,A
41719517,11222,8/30/2021,12,A
50017272,11201,9/15/2022,9,A
41699967,11368,4/27/2022,31,C
41627769,11417,1/23/2020,22,B
50108300,11201,11/18/2021,18,B
41593479,11354,6/5/2019,11,A
